,PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked
count,891.0,891.0,891.0,891,891,891.0,891.0,891.0,891,891.0,891
unique,,,3.0,891,2,,,,681,,3
top,,,3.0,"Braund, Mr. Owen Harris",male,,,,347082,,S
freq,,,491.0,1,577,,,,7,,646
mean,446.0,0.3838383838383838,,,,29.36158249158249,0.5230078563411896,0.38159371492704824,,32.204207968574636,
std,257.3538420152301,0.4865924542648575,,,,13.019696550973201,1.1027434322934317,0.8060572211299483,,49.6934285971809,
min,1.0,0.0,,,,0.42,0.0,0.0,,0.0,
25%,223.5,0.0,,,,22.0,0.0,0.0,,7.9104,
50%,446.0,0.0,,,,28.0,0.0,0.0,,14.4542,
75%,668.5,1.0,,,,35.0,1.0,0.0,,31.0,
max,891.0,1.0,,,,80.0,8.0,6.0,,512.3292,
